pageid	title	busyu	sokaku	edu_kanji	joyo_kanji	onyomi	kunyomi	jiscode	kuten
7650	磷	* {{部首|石|12}}	* {{総画|17}}			* 音読み,** [[呉音]] : [[リン]],** [[漢音]] : [[リン]]	* 訓読み,*: [[ながれる|なが-れる]]、[[うすい]]、[[うすらぐ|うす-らぐ]]、[[きらら]]	** [[JIS]]*** 16進：792E	** [[区点]]：1面89区14点
7826	花	* {{部首|艸|4}}	* {{総画|7}}	[[Category:教育漢字 第1学年|か]]	[[Category:常用漢字|か]]	* 音読み,** [[呉音]] : [[ケ]]([[クヱ]])(表外),** [[漢音]] : [[カ]]([[クヮ]])	* 訓読み,** 常用漢字表内,**: [[はな]],** 常用漢字表外,**: [[わ]]	** [[JIS]]*** 16進：3256	** [[区点]]：1面18区54点
7828	鼻	*{{部首|鼻|0}}	*{{総画|14}}	[[Category:教育漢字 第3学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[ビ]],** [[漢音]] : [[ヒ]]	* 訓読み : [[はな]]	** [[JIS]]*** 16進：4921	** [[区点]]：1面41区01点
7848	百	* {{部首|白|1}}	* {{総画|6}}	[[Category:教育漢字 第1学年|ひやく ひゃく]]	[[Category:常用漢字|ひやく ひゃく]]	* 音読み,** [[呉音]] : [[ヒャク]],** [[漢音]] : [[ハク]]	* 訓読み,** 常用漢字表内,**: 常用漢字表内の訓読みはありません。,** 常用漢字表外,**: [[もも]]、[[もんど]]、[[ひゅく]]、[[ひゃっ]]、[[なり]]、[[どう]]、[[ゆ]]、[[お]]	** [[JIS]]*** 16進：4934	** [[区点]]：1面41区20点
7849	十	*{{部首|十|0}}	*{{総画|2}}	[[Category:教育漢字_第1学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[ジュウ]]([[ジフ]]) 、[[ジッ]],** [[漢音]] : [[シュウ]]([[シフ]])(表外),** [[慣用音]] :[[ジュッ]],***「十」の伝来時の音は{{IPAchar|[ʑip]}}と推定され、当時の日本語にない[-p]の音（[[入声]]）は「-フ（音は{{IPAchar|[-ɸu]}}と推定されている）」と音写されたため、「十」は「ジフ」として受け入れられ、後に「ジュウ」に変化した。一方、入声はk,s,t,h,pといった無声子音が後続するときは[[促音便]]化するという性質（例.合[ガフ]→合算[ガッサン]）があったため、「十」も促音便は「ジッ」であり「十本」は「ジッポン」、「十間」は「ジッケン」と発音された。近年になり、「ジュウ」の音に引きずられ、促音便は「ジュッ」が広く受け入れられるようになった<ref name="NHK" />。[[w:常用漢字#改定|改定常用漢字表]]では、備考に「『ジュッ』とも。」と注記されている<ref name="Joyokanjihyo" />。,***: '''十'''円 ('''じゅう'''えん),***: '''十'''個 (現代の発音: '''じゅっ'''こ、伝統的な発音: '''じっ'''こ)	* 訓読み,** 常用漢字表内,**: [[とお]]、[[と]]	** [[JIS]]*** 16進：3D3D	**[[区点]]：29区29点
7855	極	* {{部首|木|8}}	* {{総画|12}} <!-- en版での総画数=13 -->	[[Category:教育漢字 第4学年|きよく きょく]]	[[Category:常用漢字|きよく きょく]]	* 音読み :,** [[呉音]] : [[ゴク]],** [[漢音]] : [[キョク]]	* 訓読み,** 常用漢字表内,**: [[きわめる|きわ-める]]、[[きわまる|きわ-まる]]、[[きわみ|きわ-み]],** 常用漢字表外,**: [[きわまり|きわ-まり]]、[[きめる|き-める]]、[[ぎめ|ぎ-め]]、[[きまる|き-まる]]	** [[JIS]]*** 16進：364B	** [[区点]]：1面22区43点
7929	音	* {{部首|音|0}}	* {{総画|9}}	[[Category:教育漢字 第1学年|おん]]	[[Category:常用漢字|おん]]	* 音読み,** [[呉音]] : [[オン]],** [[漢音]] : [[イン]]	* 訓読み,** 常用漢字表内,**: [[おと]]、[[ね]]	** [[JIS]]*** 16進：323B	** [[区点]]：1面18区27点
8679	載	*{{部首|車|6}}	*{{総画|13}}		[[Category:常用漢字]]	*音読み,**[[呉音]]: [[サイ]]、[[ザイ]],**[[漢音]]: [[サイ]]	*訓読み: [[のる|の-る]]、[[のせる|の-せる]]	**[[JIS]]***16進: ????	**[[区点]]: ??区??点
8680	正	*{{部首|止|1}}	*{{総画|5}}	[[Category:教育漢字_第1学年|せい]]	[[Category:常用漢字|せい]]	* 音読み,** [[呉音]] : [[ショウ]]([[シャゥ]]),** [[漢音]] : [[セイ]]([[セィ]])	* 訓読み : [[ただしい|ただ-しい]]、[[ただす|ただ-す]]、[[まさに|まさ-に]]	** [[JIS]]*** 16進：4035	** [[区点]]：1面32区21点
8681	澗	*{{部首|水|12}}	*{{総画|15}}			*音読み,**[[呉音]]: [[ケン]],**[[漢音]]: [[カン]]	*訓読み: [[たに]]	**[[JIS]]***16進: ????	**[[区点]]: ??区??点
